I_magnitude,period_days,I_band_amplitude,V_minus_I_color,star_type
15.671,2.7961643,0.357,0.7899999999999991,Cepheid
15.513,2.9024106,0.45,0.7419999999999991,Cepheid
15.264,4.7883547,0.225,1.158999999999999,Cepheid
15.295,3.4201675,0.301,0.7919999999999998,Cepheid
15.596,2.6397216,0.496,0.7360000000000007,Cepheid
14.951,4.2000083,0.642,0.6500000000000004,Cepheid
15.294,3.5876482,0.325,0.7379999999999995,Cepheid
16.21,2.9475013,0.582,1.2390000000000008,Cepheid
15.668,2.3947188,0.354,1.0770000000000017,Cepheid
15.029,3.929258,0.444,0.7409999999999997,Cepheid
15.594,2.364484,0.668,0.5800000000000001,Cepheid
15.281,3.6198042,0.487,0.7900000000000009,Cepheid
15.215,3.4874735,0.507,0.7349999999999994,Cepheid
15.37,2.9548787,0.634,0.6150000000000002,Cepheid
14.718,5.3176982,0.425,0.8019999999999996,Cepheid
15.639,2.7055352,0.457,0.7330000000000005,Cepheid
15.531,3.2997727,0.452,0.8489999999999984,Cepheid
15.847,2.4240252,0.202,0.7230000000000008,Cepheid
15.648,2.3030707,0.532,0.6580000000000013,Cepheid
15.619,2.4772395,0.421,0.7040000000000006,Cepheid
15.297,3.0282623,0.554,0.7119999999999997,Cepheid
15.836,2.6746475,0.429,0.8819999999999997,Cepheid
14.566,6.5014987,0.131,0.9139999999999997,Cepheid
13.398,13.8791812,0.554,0.9009999999999998,Cepheid
15.306,4.0347884,0.366,0.9139999999999997,Cepheid
14.724,4.8745455,0.545,0.7289999999999992,Cepheid
15.387,3.1534353,0.417,0.7519999999999989,Cepheid
12.89,16.2231948,0.594,0.9059999999999988,Cepheid
15.399,3.2134339,0.53,0.7189999999999994,Cepheid
13.437,17.2014157,0.565,0.9160000000000004,Cepheid
15.394,3.2327071,0.541,0.7299999999999986,Cepheid
15.79,3.0956204,0.476,0.9529999999999994,Cepheid
14.917,4.6064313,0.141,0.8610000000000007,Cepheid
14.717,4.7935125,0.294,0.7149999999999999,Cepheid
15.024,5.0801591,0.219,0.9620000000000015,Cepheid
15.598,2.6091765,0.589,0.7299999999999986,Cepheid
15.117,3.6508665,0.535,0.7059999999999995,Cepheid
15.244,3.4383827,0.497,0.6479999999999997,Cepheid
14.008,7.1573841,0.374,0.6660000000000004,Cepheid
14.936,4.6800732,0.42,0.782,Cepheid
15.569,2.8123977,0.352,0.7879999999999985,Cepheid
14.93,3.8010236,0.638,0.6259999999999994,Cepheid
15.584,2.6409219,0.418,0.6969999999999992,Cepheid
14.948,4.9342803,0.373,0.7679999999999989,Cepheid
15.714,5.5572499,0.267,1.6059999999999999,Cepheid
14.948,4.0508613,0.65,0.6769999999999996,Cepheid
15.328,3.4549571,0.466,0.7370000000000019,Cepheid
15.205,3.2694733,0.515,0.6519999999999992,Cepheid
14.015,10.4850323,0.277,0.8819999999999997,Cepheid
14.942,4.6923483,0.542,0.7940000000000005,Cepheid
16.493,1.1968953,0.458,0.5970000000000013,Cepheid
15.377,3.3208465,0.464,0.7750000000000004,Cepheid
15.706,2.1149447,0.67,0.6260000000000012,Cepheid
14.924,4.5160275,0.461,0.7460000000000004,Cepheid
15.521,2.7138612,0.484,0.7109999999999985,Cepheid
15.606,3.2060928,0.361,0.8379999999999992,Cepheid
15.19,4.164651,0.466,0.8149999999999995,Cepheid
15.391,3.1850585,0.478,0.7039999999999988,Cepheid
15.325,3.7719914,0.372,0.8200000000000003,Cepheid
15.27,3.7621217,0.474,0.7789999999999999,Cepheid
13.47,14.4668998,0.514,0.8929999999999989,Cepheid
16.469,2.9990886,0.512,1.2419999999999973,Cepheid
14.81,4.3560958,0.598,0.7009999999999987,Cepheid
14.325,7.2254805,0.473,0.7330000000000005,Cepheid
14.806,4.4124018,0.407,0.625,Cepheid
17.176,2.5362274,0.284,1.5230000000000032,Cepheid
15.436,2.8664374,0.596,0.6780000000000008,Cepheid
15.085,4.9172696,0.521,0.9499999999999993,Cepheid
15.52,2.5607125,0.567,0.7270000000000003,Cepheid
14.958,4.3321972,0.613,0.7579999999999991,Cepheid
15.642,2.630509,0.332,0.7349999999999994,Cepheid
14.728,5.4639428,0.377,0.7859999999999996,Cepheid
15.76,3.1668707,0.479,1.109,Cepheid
